Kentavious Caldwell-Pope,LAL,74,1.5,0.115,0.59,0.9,0.3,1.2,27,29.8,0.072,0.144,0.054,0.018,0.27
C.J. Williams,LAC,38,0.7,0.115,0.81,0.6,0.2,0.6,39.1,45.7,0,0.115,0,0,0.346
Blake Griffin,DET,25,2.4,0.114,0.83,2,0.7,1.8,37,43.5,0.117,0.133,0.1,0.017,0.383
Solomon Hill,NOP,12,0.5,0.113,0.67,0.3,0.2,0.3,66.7,66.7,0,0.5,0,0,0.333
Justin Holiday,CHI,72,1.5,0.113,0.46,0.7,0.3,1.1,22.2,27.2,0.028,0.208,0.019,0,0.198
Giannis Antetokounmpo,MIL,75,2.9,0.113,0.92,2.6,1,2.1,46.9,47.8,0.164,0.126,0.15,0.037,0.472
JJ Redick,PHI,70,1.7,0.113,1.08,1.8,0.7,1.4,46,54.5,0.076,0.092,0.059,0.008,0.454
Glenn Robinson III,IND,22,0.5,0.11,0.2,0.1,0,0.5,10,10,0,0,0,0,0.1
Carmelo Anthony,OKC,78,1.9,0.109,0.86,1.6,0.6,1.6,39.1,42.6,0.075,0.061,0.068,0.007,0.408
Danny Green,SAS,70,1,0.109,0.57,0.6,0.3,0.8,32.1,33.9,0.028,0.194,0.014,0,0.278
Jamel Artis,ORL,15,0.7,0.108,0.4,0.3,0.1,0.4,33.3,33.3,0,0.4,0,0,0.2
Danuel House,PHX,23,0.7,0.106,0.81,0.6,0.3,0.6,42.9,46.4,0,0.125,0,0,0.375
Wes Iwundu,ORL,62,0.5,0.104,0.75,0.3,0.1,0.3,38.1,38.1,0.179,0.179,0.179,0.107,0.357
Malachi Richardson,SAC,25,0.4,0.102,0.73,0.3,0.2,0.4,40,40,0,0.091,0,0,0.364
DeAndre Liggins,MIL,31,0.3,0.1,0.88,0.2,0.1,0.2,60,70,0,0.375,0,0,0.375
Jodie Meeks,WAS,77,0.6,0.1,0.79,0.5,0.2,0.5,33.3,41.7,0.064,0.17,0.064,0,0.319
Harrison Barnes,DAL,77,1.9,0.1,0.95,1.8,0.7,1.5,46.2,50,0.09,0.09,0.083,0,0.462
JR Smith,CLE,80,0.9,0.099,0.87,0.8,0.3,0.6,52.9,55.9,0.072,0.203,0.029,0.014,0.435
Rodney McGruder,MIA,18,0.4,0.099,0.88,0.4,0.2,0.4,42.9,50,0,0.125,0,0,0.375
Aaron Gordon,ORL,58,1.7,0.094,0.72,1.2,0.4,1.3,33.3,38.5,0.09,0.14,0.08,0.01,0.33
Paul Zipser,CHI,54,0.5,0.093,0.11,0.1,0,0.3,6.3,6.3,0.037,0.37,0.037,0,0.074
Pat Connaughton,POR,82,0.5,0.093,0.79,0.4,0.2,0.4,38.2,44.1,0.048,0.143,0.048,0,0.357
Malik Beasley,DEN,56,0.3,0.092,0.63,0.2,0.1,0.3,42.9,42.9,0,0.263,0,0,0.316
Jalen Jones,DAL,12,0.6,0.09,0.57,0.3,0.1,0.4,20,20,0.286,0,0.286,0,0.429
Marco Belinelli,PHI,28,1,0.086,1.28,1.3,0.6,0.9,64,74,0,0.138,0,0,0.552
Nick Young,GSW,80,0.6,0.085,0.79,0.5,0.2,0.5,34.1,42.7,0.021,0.106,0,0,0.319
Rudy Gay,SAS,57,1,0.084,0.88,0.9,0.3,0.7,42.1,47.4,0.14,0.228,0.14,0.035,0.386
Shaun Livingston,GSW,72,0.5,0.083,0.6,0.3,0.1,0.4,30.8,30.8,0.114,0.2,0.114,0.057,0.286
Brandon Paul,SAS,48,0.3,0.082,0.33,0.1,0,0.1,16.7,16.7,0.083,0.417,0.083,0,0.167
Quincy Pondexter,CHI,16,0.3,0.082,0.4,0.1,0.1,0.2,33.3,33.3,0,0.4,0,0,0.2
Justin Anderson,PHI,38,0.5,0.081,0.79,0.4,0.2,0.4,37.5,40.6,0.053,0.105,0.053,0,0.368
Jaylen Brown,BOS,70,1.2,0.08,0.73,0.9,0.3,0.8,41.5,43.4,0.11,0.256,0.11,0.012,0.354
Shabazz Muhammad,MIL,11,0.5,0.08,1.17,0.6,0.3,0.5,50,58.3,0,0,0,0,0.5
Derrick Jones Jr.,MIA,14,0.4,0.079,1.2,0.4,0.2,0.4,60,60,0,0,0,0,0.6
Josh Hart,LAL,63,0.6,0.078,0.67,0.4,0.2,0.4,35.7,42.9,0,0.222,0,0,0.278
Troy Williams,NYK,17,0.6,0.078,0.3,0.2,0.1,0.4,16.7,25,0,0.4,0,0,0.1
Gian Clavell,DAL,4,0.3,0.077,3,0.8,0.3,0.3,100,150,0,0,0,0,1
Antonius Cleveland,ATL,4,0.3,0.077,0,0,0,0.3,0,0,0,0,0,0,0
DeMarre Carroll,BKN,73,1,0.077,0.92,1,0.3,0.8,41.4,48.3,0.132,0.132,0.092,0.026,0.421
Troy Daniels,PHX,79,0.6,0.076,0.78,0.5,0.2,0.5,31.6,42.1,0.06,0.18,0.04,0,0.3
