Player_num,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
375,Ramon Sessions,WAS,32,28,10,18,14,77.8,22.2,50,5.9,17.6,8.1,32.4,17.6,44.1,44.1,55.9,87.5,12.5,52.4,47.6
379,Caleb Swanigan,POR,21,27,16,11,7,86.7,13.3,75.4,6.6,4.9,8.2,19.7,14.8,68.9,69.6,30.4,100,0,70.8,29.2
379,Jonathan Isaac,ORL,20,27,11,16,19.8,68.3,31.7,53.8,8.3,33.1,12.4,13.1,23.4,45.5,66.7,33.3,100,0,76.4,23.6
381,Emeka Okafor,NOP,35,26,16,10,13.6,100,0,84.2,15.8,0,11.4,15.8,14,68.4,79.2,20.8,0,0,79.2,20.8
381,Malachi Richardson,TOR,22,26,8,18,12.4,55.6,44.4,40.4,22.5,40.4,10.1,19.1,24.7,18,61.1,38.9,83.3,16.7,70,30
381,DeAndre' Bembry,ATL,23,26,8,18,17.5,76.6,23.4,61.8,1.5,24.3,20.6,14,22.8,60.3,40.5,59.5,100,0,52.8,47.2
384,Alex Poythress,IND,24,25,10,15,4.2,57.7,42.3,53.8,0,46.2,7.7,0,7.7,53.8,71.4,28.6,100,0,81.8,18.2
384,Derrick Rose,MIN,29,25,15,10,16.8,83.9,16.1,70.8,11.5,10,16.3,19.1,14.8,59.3,40.5,59.5,57.1,42.9,42,58
384,Juancho Hernangomez,DEN,22,25,15,10,11.1,33.3,66.7,36.6,2.4,51.2,15.9,12.2,13.4,34.1,53.3,46.7,92.9,7.1,72.4,27.6
384,Cameron Payne,CHI,23,25,7,18,23.3,57.7,42.3,47.1,9,47.5,19.5,5.4,12.2,38,15.4,84.6,62.9,37.1,34.5,65.5
388,Zach LaVine,CHI,23,24,9,15,27.3,65.4,34.6,46.9,9,31.4,15,21.7,15,37.9,30.9,69.1,47.6,52.4,36,64
388,Terrence Ross,ORL,27,24,10,14,25,51.3,48.7,44,16.3,43.1,9.6,12.9,19.1,27.8,67.4,32.6,86.7,13.3,75,25
388,John Holland,CLE,29,24,17,7,7.3,39,61,22.2,0,61.1,13,16.7,14.8,22.2,50,50,81.8,18.2,70.6,29.4
388,Ryan Arcidiacono,CHI,24,24,6,18,12.7,24.4,75.6,33.3,8.3,56.3,8.3,10.4,31.3,25,50,50,88.9,11.1,70.6,29.4
392,Danuel House,PHX,25,23,6,17,17.5,55,45,53.9,2.6,29.6,26.3,16.4,21.7,51.3,51.2,48.8,86.7,13.3,60.7,39.3
392,Glenn Robinson III,IND,24,23,14,9,14.7,60,40,46.3,12.6,44.2,14.7,9.5,16.8,33.7,63.6,36.4,100,0,77.8,22.2
392,Julyan Stone,CHA,29,23,10,13,7.6,0,100,0,0,94.7,0,5.3,15.8,0,0,0,100,0,100,0
392,Shaquille Harrison,PHX,24,23,3,20,16.7,79,21,69.7,1.3,11.8,28.3,18.4,28.9,68.4,32.1,67.9,100,0,39,61
392,Andrew Bogut,LAL,33,23,7,16,9.4,100,0,94.4,5.6,0,5.6,5.6,11.1,88.9,35.3,64.7,0,0,35.3,64.7
392,Quincy Pondexter,CHI,30,23,6,17,8.5,55.1,44.9,48.9,4.4,20,22.2,31.1,35.6,44.4,63.6,36.4,100,0,71.4,28.6
392,Jordan Mickey,MIA,23,23,15,8,12.4,80.5,19.5,79.6,4.3,6.5,4.3,14,12.9,75.3,64.9,35.1,100,0,66.7,33.3
