PLAYER,TEAM,GP,W,L,MIN,DIST FEET,DIST MILES,DIST MILES OFF,DIST MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Vander Blue,LAL,5,1,4,9,3287.4,0.62,0.32,0.3,4.16,4.85,3.61
Victor Oladipo,IND,75,48,27,34,13279.3,2.52,1.32,1.2,4.45,4.75,4.15
Vince Carter,SAC,58,20,38,17.7,6103,1.16,0.63,0.53,3.97,4.2,3.72
Vincent Hunter,MEM,4,0,4,1.9,620.5,0.12,0.06,0.05,4.06,4.99,3.17
Wade Baldwin IV,POR,7,4,3,11.5,4732.3,0.9,0.47,0.43,4.82,5.11,4.53
Walter Lemon Jr.,NOP,5,4,1,7,1970,0.37,0.19,0.18,4.95,5.17,4.72
Wayne Ellington,MIA,76,41,35,26.6,10144.8,1.92,1.06,0.86,4.36,4.7,4
Wayne Selden,MEM,35,10,25,19.8,7412.1,1.4,0.77,0.64,4.28,4.57,3.97
Wes Iwundu,ORL,62,18,44,16.5,6419.8,1.22,0.64,0.57,4.53,4.67,4.39
Wesley Johnson,LAC,74,38,36,20.1,7461,1.41,0.72,0.69,4.24,4.36,4.11
Wesley Matthews,DAL,63,20,43,33.8,12471.2,2.36,1.31,1.05,4.21,4.48,3.91
Will Barton,DEN,81,46,35,33.1,12052.6,2.28,1.24,1.04,4.21,4.57,3.85
Willie Cauley-Stein,SAC,73,23,50,28,10598.7,2.01,1.07,0.94,4.31,4.58,4.04
Willie Reed,DET,42,20,22,10.2,3811.8,0.72,0.36,0.36,4.27,4.44,4.1
Willy Hernangomez,CHA,48,20,28,10.3,3947.9,0.75,0.4,0.35,4.38,4.72,4.05
Wilson Chandler,DEN,74,41,33,31.7,11196.7,2.12,1.11,1.01,4.04,4.18,3.89
Xavier Munford,MIL,6,2,4,3.5,1253.2,0.24,0.13,0.1,4.43,4.81,3.99
Xavier Rathan-Mayes,MEM,5,0,5,23.6,8593,1.63,0.91,0.72,4.65,5.23,4.16
Xavier Silas,BOS,2,1,1,3.8,1447,0.27,0.13,0.14,4.02,5.58,4.26
Yogi Ferrell,DAL,82,24,58,27.8,10788,2.04,1.12,0.93,4.42,4.73,4.11
Zach Collins,POR,66,41,25,15.8,5726.4,1.08,0.59,0.5,4.16,4.32,3.99
Zach LaVine,CHI,24,9,15,27.4,10967.7,2.08,1.12,0.96,4.6,5.05,4.17
Zach Randolph,SAC,59,18,41,25.6,8869.9,1.68,0.9,0.78,3.96,4.06,3.84
Zaza Pachulia,GSW,69,47,22,14.1,5232.4,0.99,0.5,0.49,4.26,4.58,3.98
Zhou Qi,HOU,18,14,4,6.9,2507.2,0.47,0.26,0.22,4.12,4.25,4.09
