PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Antonius Cleveland,ATL,17,7,10,7.2,3.8,4.4,0.1,0,0.6,0.1,3.1,3.1
Aron Baynes,BOS,78,51,27,18.4,21,18.1,1.2,0.1,2.3,1.4,5.6,6.5
Arron Afflalo,ORL,53,16,37,12.9,10.2,10.6,0.6,0.1,1.5,0.6,5.6,6.1
Austin Rivers,LAC,61,30,31,33.7,51,60.5,4,0.6,7.2,4.7,7.8,9.3
Avery Bradley,LAC,46,22,24,31.2,22.7,33.8,2,0.4,3.7,2.5,9,11.1
Bam Adebayo,MIA,68,33,35,19.8,19.6,19,1.5,0.1,3.4,1.5,7.4,7.9
Ben McLemore,MEM,56,7,49,19.5,18.9,19.6,0.9,0.2,1.8,1.1,4.8,6
Ben Moore,IND,2,1,1,4.6,4,1.5,0.5,0,0.5,0.5,12.5,12.5
Ben Simmons,PHI,80,51,29,33.8,74.1,78.4,8.2,1,17.1,9.6,11.1,12.9
Bismack Biyombo,ORL,82,25,57,18.2,23.9,13.8,0.8,0,1.3,0.8,3.4,3.4
Blake Griffin,DET,58,28,30,34,60.7,58.8,5.8,0.4,10.2,6.1,9.5,10.1
Boban Marjanovic,LAC,39,18,21,8.7,7.3,7.9,0.6,0.1,0.9,0.7,7.7,9.2
Bobby Brown,HOU,20,17,3,5.7,8.3,10.9,0.6,0,1.4,0.6,6.6,6.6
Bobby Portis,CHI,73,25,48,22.5,28.8,26.3,1.7,0.1,2.9,1.8,5.8,6.4
Bogdan Bogdanovic,SAC,78,26,52,27.9,35.2,38.1,3.3,0.5,6.6,4,9.4,11.2
Bojan Bogdanovic,IND,80,47,33,30.8,22.2,26.9,1.5,0.2,2.7,1.7,6.7,7.8
Bradley Beal,WAS,82,43,39,36.3,45.2,56.4,4.5,1.1,9,5.9,10.1,13
Brandan Wright,HOU,28,11,17,13.6,14.8,10.8,0.5,0.1,0.8,0.6,3.1,3.9
Brandon Ingram,LAL,59,27,32,33.5,36.5,42.7,3.9,0.6,8.2,4.6,10.7,12.5
Brandon Jennings,MIL,14,8,6,14.7,29.1,31.2,3.1,0.1,5.2,3.4,10.8,11.8
Brandon Paul,SAS,64,38,26,9,8.1,7.9,0.6,0.1,1.1,0.7,7.1,8.7
Briante Weber,MEM,18,8,10,13.1,22.9,20.4,1.2,0.1,3.7,1.4,5.3,6.1
Brice Johnson,MEM,18,2,16,5.4,7.1,4.4,0.1,0.1,0.3,0.1,1.6,1.6
Brook Lopez,LAL,74,34,40,23.4,23.8,25.8,1.7,0.2,2.9,1.9,7.2,7.8
Bruno Caboclo,SAC,12,4,8,8.9,10.3,6,0.3,0,0.3,0.4,3.3,4.1
Bryn Forbes,SAS,80,46,34,19,13.9,18.6,1,0.3,1.9,1.3,7.2,9.4
Buddy Hield,SAC,80,27,53,25.3,23.6,29.5,1.9,0.2,3.9,2.3,8.2,9.6
C.J. Williams,LAC,38,17,21,18.6,14.3,15.3,1.1,0.1,1.7,1.3,7.9,9
CJ McCollum,POR,81,48,33,36.1,35,51,3.4,0.5,7,4,9.6,11.3
CJ Miles,TOR,70,50,20,19.1,12.7,16,0.8,0.1,1.3,0.9,6.2,7.2
Caleb Swanigan,POR,27,16,11,7,5.9,5.7,0.5,0,1.1,0.5,8.8,8.8
Cameron Payne,CHI,25,7,18,23.3,46,49,4.5,0.2,8.7,4.8,9.8,10.4
Caris LeVert,BKN,69,24,45,26.1,35.5,43,4.1,0.4,8.1,4.8,11.6,13.4
Carmelo Anthony,OKC,76,46,30,32,36,28.8,1.3,0.1,2.2,1.4,3.6,3.9
