PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Norman Powell,TOR,70,1.7,25.80%,0.86,1.4,0.6,1.4,41.7,47.4,7.70%,13.70%,6.80%,3.40%,38.50%,12.2
Tim Hardaway Jr.,NYK,59,4,23.00%,1.06,4.2,1.6,3.3,47.7,55.8,9.80%,8.50%,8.50%,2.60%,46.80%,45.3
Courtney Lee,NYK,76,2.1,18.40%,1.23,2.6,1,1.9,53.5,64.6,4.90%,8.00%,4.90%,1.20%,50.90%,74.3
Patrick Beverley,LAC,11,1.8,13.20%,1.25,2.3,0.7,1.2,61.5,80.8,10.00%,25.00%,10.00%,0.00%,50.00%,77.7
CJ Miles,TOR,70,1.6,16.30%,0.76,1.2,0.4,1.4,27.6,35.7,7.30%,4.50%,7.30%,0.90%,30.90%,6.5
OG Anunoby,TOR,74,1.4,23.90%,1.04,1.4,0.5,1.1,50,55.6,11.00%,12.00%,11.00%,3.00%,48.00%,39.1
Quincy Pondexter,CHI,16,0.9,24.60%,1.2,1.1,0.4,0.7,54.5,63.6,20.00%,6.70%,20.00%,0.00%,60.00%,70.8
Willie Reed,LAC,39,0.3,7.30%,1.17,0.4,0.1,0.2,62.5,62.5,25.00%,8.30%,25.00%,0.00%,66.70%,62.5
Wesley Johnson,LAC,74,1.2,19.20%,0.85,1,0.4,0.9,40.6,45.3,14.00%,12.80%,14.00%,1.20%,40.70%,11.3
Larry Nance Jr.,CLE,24,0.8,9.30%,1.17,0.9,0.4,0.6,64.3,64.3,16.70%,11.10%,16.70%,5.60%,55.60%,62.5
Milos Teodosic,LAC,45,1.1,10.50%,0.58,0.6,0.2,0.6,37,48.1,4.00%,42.00%,0.00%,0.00%,24.00%,1.6
Lauri Markkanen,CHI,68,2,13.20%,1.24,2.4,0.9,1.6,55.9,64.9,12.80%,9.80%,12.00%,6.00%,52.60%,75.7
Denzel Valentine,CHI,77,2,18.60%,1.09,2.2,0.8,1.7,48.1,60.2,4.50%,10.90%,3.80%,0.60%,44.20%,50.2
Justin Holiday,CHI,72,1.9,14.90%,0.92,1.8,0.6,1.6,39.1,47,9.30%,10.70%,8.60%,2.10%,39.30%,17.8
Brandon Ingram,LAL,59,3.1,17.40%,1.17,3.6,1.3,2.1,64.5,69.8,20.60%,17.80%,20.00%,5.60%,57.20%,64
Kristaps Porzingis,NYK,49,1.7,7.50%,1.13,1.9,0.8,1.4,52.9,57.1,9.60%,8.40%,9.60%,2.40%,51.80%,56.3
Lou Williams,LAC,79,3.3,14.90%,1.03,3.4,1.1,2.3,46.7,53.3,16.30%,16.30%,14.40%,2.30%,46.60%,36
Corey Brewer,LAL,54,1.4,31.10%,0.89,1.2,0.5,0.9,50,50,16.40%,17.80%,16.40%,4.10%,46.60%,14.9
Tyler Ennis,LAL,54,0.8,15.60%,1.12,0.9,0.4,0.6,54.3,57.1,11.60%,7.00%,9.30%,0.00%,53.50%,54.7
Jerian Grant,CHI,74,1.1,12.70%,1.31,1.5,0.4,0.8,54.2,61.9,31.80%,9.40%,29.40%,10.60%,58.80%,87.4
Kyle Lowry,TOR,78,3.3,21.00%,1.16,3.8,1.3,2.5,51.5,64.6,10.50%,15.10%,8.50%,2.70%,47.30%,60.6
Andre Roberson,OKC,39,1.1,20.10%,1.07,1.2,0.5,0.8,67.7,67.7,11.90%,14.30%,11.90%,0.00%,57.10%,47.1
Danilo Gallinari,LAC,21,2.3,15.40%,0.98,2.3,0.8,1.9,41,44.9,14.30%,8.20%,10.20%,2.00%,44.90%,26.6
