PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Glenn Robinson III,IND,23,14,9,14.7,1.3,0.3,0.6,50,0,0,0,0.7,48.4,0.5,35.5,0.2,12.9,0,0,0,0
Goran Dragic,MIA,74,38,36,31.7,14.6,2.6,5.7,46.3,0.7,0.9,74.3,6.1,41.4,5.6,38.2,1.6,11.1,0.8,5.7,0.5,3.3
Gordon Hayward,BOS,1,0,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgui Dieng,MIN,79,45,34,16.9,0.5,0.2,0.2,68.4,0.1,0.2,83.3,0.5,90.2,0.1,26.8,0,4.9,0,4.9,0.1,14.6
Greg Monroe,BOS,50,21,29,20.5,1.9,0.6,1.3,46.9,0.1,0.2,41.7,1.4,70.8,0.3,13.5,0.1,3.1,0,2.1,0.1,6.3
Guerschon Yabusele,BOS,32,23,9,7.3,0.6,0.1,0.2,57.1,0.2,0.3,87.5,0.5,88.9,0.1,16.7,0,5.6,0,5.6,0.1,22.2
Harrison Barnes,DAL,77,24,53,34.2,7.3,2,4.1,47.9,0.9,1.2,78.5,5.1,69.4,1.4,18.7,0.5,6.6,0.4,6,0.6,8.5
Hassan Whiteside,MIA,54,30,24,25.3,0.9,0.3,0.6,45.2,0.1,0.1,37.5,0.6,73.9,0.1,13,0,2.2,0.1,6.5,0.1,8.7
Henry Ellenson,DET,38,21,17,8.7,1.6,0.3,1,27,0.1,0.1,75,0.6,40,0.3,18.3,0.1,5,0.1,3.3,0.1,3.3
Ian Clark,NOP,74,43,31,19.7,3.1,1,1.8,55.7,0.1,0.2,66.7,2.1,67.1,0.8,24.2,0.3,8.7,0.1,4.8,0.1,2.6
Ian Mahinmi,WAS,77,42,35,14.9,0.3,0.1,0.2,46.2,0.1,0.1,83.3,0.2,81,0,4.8,0,0,0,4.8,0,14.3
Ike Anigbogu,IND,11,5,6,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iman Shumpert,SAC,14,9,5,19.7,1.4,0.1,0.3,25,0.4,0.6,75,0.6,40,0.5,35,0.1,5,0.3,20,0.3,20
Isaiah Canaan,PHX,20,9,11,21.1,7.1,1.2,2.8,42.9,0.8,0.8,93.8,3.3,46.8,2.4,33.3,0.9,12.8,0.5,6.4,0.4,5.7
Isaiah Hicks,NYK,18,4,14,13.3,0.7,0.1,0.3,33.3,0,0,0,0.2,30.8,0.2,30.8,0,0,0.1,7.7,0,0
Isaiah Taylor,ATL,67,18,49,17.4,7.8,1.4,3.2,44.2,0.7,0.9,75,3.6,45.7,2.6,32.8,0.8,10.1,0.4,5.7,0.5,5.9
Isaiah Thomas,LAL,32,15,17,26.9,12.3,1.7,4,41.1,1.6,1.8,92.9,5,40.4,4.4,35.8,1.4,11.4,1.1,8.9,0.9,7.1
Isaiah Whitehead,BKN,15,2,13,10.9,5.5,1.2,2.6,46.2,0.4,0.7,60,2.9,51.8,1.2,21.7,0.4,7.2,0.9,15.7,0.3,6
Ish Smith,DET,82,39,43,24.9,11.1,1.9,3.9,47.1,0.3,0.5,73,4.1,36.9,4.9,43.8,1.4,12.7,0.5,4.2,0.2,2.1
Ivan Rabb,MEM,36,6,30,14.3,0.3,0.1,0.1,66.7,0,0,0,0.1,36.4,0.1,27.3,0,9.1,0.1,36.4,0,0
Ivica Zubac,LAL,43,19,24,9.5,0.1,0,0,50,0,0,50,0.1,75,0,0,0,0,0,25,0,25
J.J. Barea,DAL,69,23,46,23.2,9.5,1.9,3.8,49.2,0.6,0.7,85.1,4.4,46.8,3.1,32.4,1.4,14.7,0.6,6.1,0.4,3.8
JJ Redick,PHI,69,45,24,30.2,2.2,0.4,1,42.3,0,0.1,75,0.9,41.9,0.7,32.9,0.3,14.2,0.1,3.2,0,1.3
JR Smith,CLE,80,49,31,28.1,3.1,0.5,1.1,44.3,0.1,0.2,75,1.1,36.6,1.1,37,0.4,14.2,0.2,7.3,0.1,2.4
JaKarr Sampson,SAC,22,6,16,15.6,1,0.2,0.5,45.5,0.1,0.1,100,0.6,56.5,0.4,34.8,0,0,0.1,8.7,0,4.3
JaMychal Green,MEM,55,11,44,28,1.2,0.2,0.5,40,0.2,0.3,62.5,0.6,51.5,0.3,21.2,0.1,6.1,0.2,15.2,0.1,12.1
JaVale McGee,GSW,65,45,20,9.5,0.2,0.1,0.1,55.6,0,0,0,0.2,71.4,0,14.3,0,14.3,0,7.1,0,0
Jabari Bird,BOS,13,8,5,8.8,0.8,0.2,0.4,40,0,0,0,0.3,40,0.2,20,0.1,10,0.2,20,0,0
Jabari Parker,MIL,31,16,15,24,4.3,1,2,51.6,0.4,0.5,75,2.5,58.6,1.3,30.1,0.3,6.8,0.3,6.8,0.3,6
Jack Cooley,SAC,7,4,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Pullen,PHI,3,2,1,2,0.7,0.3,0.3,100,0,0,0,0.7,100,0.3,50,0,0,0,0,0,0
Jacob Wiley,BKN,4,1,3,8.1,0.5,0,0,0,0,0,0,0,0,0.3,50,0.3,50,0,0,0,0
Jae Crowder,UTA,80,52,28,26.1,1.9,0.4,0.8,54.1,0.3,0.4,69.7,1.1,58.7,0.6,29,0.2,9.7,0.2,7.7,0.2,11
