PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Cory Joseph,IND,26,9.7,15,64.5,1.7,4.1,42.2,1.6,3.9,40.5,2.3,5.1,44.9,2.7,6.6,40.7,3.8,12,31.2
Courtney Lee,NYK,32,11.4,19.2,59.2,1.7,4.6,37.7,1.8,4.1,43.2,2.1,4.9,42.1,4,9.8,40.6,4.3,12,36
Cristiano Felicio,CHI,25,6.8,10.3,66.2,0.9,2.2,43.5,0.9,2.2,41.8,1,2.4,41.5,2.6,6.9,37.2,2.8,7.5,37.6
D'Angelo Russell,BKN,22,10.6,18.2,58.2,2.6,6.1,42.1,2.2,4.8,44.8,2,5.1,39.2,2.7,6.8,40.3,3,7.5,40.4
D.J. Augustin,ORL,30,9.7,15.2,63.7,1.5,4,37.9,1.5,3.5,42,1.6,4.4,36.3,2.5,6.7,36.8,2.8,8.4,33.2
D.J. Wilson,MIL,22,1.8,2.5,69.8,0.6,0.7,83.3,0.1,0.2,33.3,0.4,1.1,33.3,0.4,1.4,31.6,0.6,1.1,52.6
Dakari Johnson,OKC,22,1.7,2.7,62.7,0.4,1.3,32.1,0.4,1,42.9,0.4,1.1,32,0.6,2.2,27.6,0.6,1.8,34.7
Damian Jones,GSW,22,2.3,3.9,57.6,0.4,1.2,33.3,0.7,1.2,61.5,0.4,1.1,37.5,0.7,2,33.3,0.5,2.5,21.2
Damian Lillard,POR,27,12.2,22.4,54.5,2.8,6.2,46,2.7,6.6,41,3.2,7.5,42.3,4.4,11.4,38.4,3.9,10.8,36.1
Damien Wilkins,IND,38,2.9,4.8,60.9,1.1,1.8,60.7,0.6,1.4,45.8,0.9,2.3,41,0.4,1.5,23.8,0.8,3.2,25.9
Damion Lee,ATL,25,9,14.7,61.1,1.7,4.1,41,1.9,5.6,34.5,2.6,5.2,50,3.7,9.3,39.3,3.5,11.3,30.8
Damyean Dotson,NYK,24,3.8,6.7,57.1,0.9,2.4,37,0.7,1.5,42.6,0.9,2.3,40.9,1.3,3.9,34.2,1.3,4,31.6
Daniel Hamilton,OKC,22,2.2,3,72.2,0.5,2.5,20,1,2,50,0.3,0.5,50,0.7,1.7,40,0.2,2,8.3
Daniel Theis,BOS,26,5.3,9.5,56.4,0.8,2.4,34,0.7,2,35.8,1.1,2.7,38.4,1.3,3.5,36.8,2.1,5.6,38
