PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Thabo Sefolosha,UTA,34,7.2,12.2,58.8,1.3,3.2,40.7,1.3,2.9,45,1.4,3.4,41.2,2.4,6.5,36.7,2.4,6.8,36.2
Thaddeus Young,IND,30,12,19,63,2.3,5.1,44.8,1.9,4.6,42.3,2.3,5.9,39.4,3,7.6,38.7,4.7,13.9,34.1
Thomas Bryant,LAL,20,3.2,4.8,67.7,0.4,0.8,50,0.6,0.9,62.5,0.1,0.8,10,0.5,1.4,35.3,0.7,1.8,39.1
Thon Maker,MIL,21,7.2,11.8,60.7,1,2.4,40.6,0.9,2.1,41.7,1,2.7,39.2,1.5,3.9,38.3,2.3,5.6,41.4
Tim Frazier,WAS,27,4.8,7.3,65.6,0.9,2.2,39.8,0.8,1.9,42.2,1.3,2.7,47.1,1.6,4,39.1,2.1,5.8,36.8
Tim Hardaway Jr.,NYK,26,11.8,19.8,59.4,2.1,5.1,41.4,1.8,4.5,40.1,2.5,6.1,40.9,4.4,10.7,40.8,4.7,13,36.5
Tim Quarterman,HOU,23,1.7,2.7,62.5,0,0.7,0,1,1.5,66.7,0,0.5,0,0.5,2,25,0.3,1.7,20
Timofey Mozgov,BKN,31,3.7,6.5,56.7,1.1,2.5,45.5,1.4,2.7,50.6,1.4,2.8,50.6,1.5,3.6,42.5,1.1,3.7,30.7
Timothe Luwawu-Cabarrot,PHI,23,5.3,8.9,59.6,0.8,2.5,32.3,1.3,3,43,1.2,3.5,35.3,1.4,3.8,36.9,2.3,6.9,32.9
Tobias Harris,LAC,25,12.8,19.9,64.4,2.3,5.8,39.4,2.2,5.1,42.2,2.4,5.8,40.9,4.1,9.9,41,4.6,12.7,36.3
Tomas Satoransky,WAS,26,8.5,13.4,64,1.6,4,40.5,1.2,3.3,35.5,1.6,3.8,42.7,2,5.3,37.8,2.9,9.2,31.7
Tony Allen,NOP,36,4.2,7.5,55.8,1,2,50,0.8,2,37.2,1.1,2.4,47.2,1.5,4.3,35.2,1.7,5,34.9
Tony Bradley,UTA,20,0.8,1.4,54.5,0,0.2,0,0.3,0.6,40,0.3,0.7,50,0.8,1.8,45.5,0.8,1.7,46.7
Tony Parker,SAS,36,6.8,11,61.8,1.7,4.1,40.8,1.6,3.5,46.3,1.8,4,43.7,1.9,5.1,37.9,2.2,6.3,34.4
Tony Snell,MIL,26,11.7,18.5,63.4,1.4,3.9,36.3,1.7,4,41.8,1.7,4.5,38.2,2.4,6.2,38.6,3.9,10.5,36.8
Torrey Craig,DEN,27,6.4,10.3,61.9,0.9,2.6,36,1.1,2.6,43.2,1.2,3.1,39.5,2.3,6.2,36.8,2.1,5,41.3
Travis Wear,LAL,27,5.1,8.3,62.1,1.2,3,39.2,0.6,1.7,37.9,1.3,2.4,55,1.4,3.7,38.1,1.3,4.9,26.2
Treveon Graham,CHA,24,5.9,9.3,63.3,1.2,3,40.6,1,2.3,45.7,1.5,3.3,44.7,1.7,4.6,36.1,2.5,6.4,39.6
Trevor Ariza,HOU,32,14.6,22.6,64.4,2.4,6.1,39,2.1,5.2,40.3,1.7,4.8,36.2,3.4,9.2,36.7,4.3,12.4,34.8
Trevor Booker,IND,30,5.6,8.9,63,1.4,3,44.6,1.3,2.9,42.5,1.5,3.3,46.6,1.8,4.7,38.8,2.2,7,31.6
Trey Burke,NYK,25,8.3,13.6,60.5,2.2,4.3,51.6,1.4,3.2,42.9,1.5,3.7,41.7,2.8,7.1,40,2.6,7.1,35.9
Trey Lyles,DEN,22,7.7,12.3,62.5,1.1,3.2,35.1,1.2,2.7,45,1.4,3.4,42.2,2.5,6.5,38.7,2,5.6,36.6
Trey McKinney-Jones,IND,27,1,1,100,-,-,-,0,0,0,-,-,-,-,-,-,0,1,0
Tristan Thompson,CLE,27,8.1,12.2,66.4,1.5,3.2,45.8,1.5,3.2,45.6,1.6,3.9,42,2.1,5.3,38.8,3.5,9.4,37.2
Troy Daniels,PHX,26,7.9,12.9,61.4,1.6,3.6,43.8,1.6,3.5,46.2,1.7,3.8,45.2,2.3,5.7,40,2.9,7.7,37.5
