PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Wilson Chandler,DEN,31,74,32,0.2,1,1.1,0,3.8,3,6.8
Xavier Munford,MIL,26,6,3,0,0.3,0.3,0,0.5,0,0.5
Xavier Rathan-Mayes,MEM,24,5,24,0.2,2,0.8,0,3.2,3.4,6.6
Xavier Silas,BOS,30,2,4,0,0.5,0,0,0.5,0.5,1
Yogi Ferrell,DAL,25,82,28,0.1,1.4,1.1,0.15,2.4,2.6,5
Zach Collins,POR,20,66,16,1.4,0.3,0.3,0.02,4.6,1.7,6.3
Zach LaVine,CHI,23,24,27,0.1,1.6,0.7,0,1.4,1.9,3.3
Zach Randolph,SAC,36,59,26,1.5,1.1,0.7,0,3.8,2.4,6.1
Zaza Pachulia,GSW,34,69,14,2.7,1.4,0.5,0,4.2,1.4,5.6
Zhou Qi,HOU,22,18,7,0.3,0.4,0.1,0,2.5,0.8,3.3
