Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
283,Thabo Sefolosha,UTA,34,9,5,4,2.8,0.8,0.2,0.4,50,0.1,0.2,50,0.2,0.2,100,0,0.6,0.6,0,0,0.1,0,0.4,1.8,1,0,0.2
292,Deyonta Davis,MEM,21,8,0,8,1.4,0,0,0,0,0,0,0,0,0.3,0,0,0.4,0.4,0.1,0,0,0.1,0.1,1,0,0,-2.4
292,Michael Carter-Williams,CHA,26,8,3,5,1,0.5,0,0.3,0,0,0,0,0.5,0.5,100,0.1,0.4,0.5,0,0,0,0,0.4,1.1,0,0,-1.1
292,Jonathan Isaac,ORL,20,8,3,5,1.3,0.4,0.1,0.1,100,0.1,0.1,100,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,1.1,0,0,-2.3
292,Dwayne Bacon,CHA,22,8,5,3,2.7,0.3,0.1,0.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,3
292,Montrezl Harrell,LAC,24,8,4,4,3.7,1.9,0.6,1,62.5,0,0.1,0,0.6,1.1,55.6,0.5,0.4,0.9,0.1,0,0,0.1,0.4,3.5,0,0,0.4
292,Chandler Parsons,MEM,29,8,3,5,1.9,0.5,0.3,0.6,40,0,0.3,0,0,0,0,0.1,0.3,0.4,0.3,0.3,0,0,0.1,1.1,0,0,0.3
292,Timothe Luwawu-Cabarrot,PHI,23,8,3,5,0.7,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0.1,0.1,0.1,0,0,-0.8
292,Thon Maker,MIL,21,8,6,2,2.5,0.5,0.3,0.3,100,0,0,0,0,0,0,0,1,1,0,0,0.1,0.1,0.3,2.5,0,0,2.9
292,Noah Vonleh,CHI,22,8,7,1,2.8,0.4,0.1,0.1,100,0,0,0,0.1,0.3,50,0,0.4,0.4,0,0,0,0,0.1,0.8,1,0,0.8
292,Isaiah Canaan,PHX,27,8,6,2,1.9,1.1,0.1,0.5,25,0,0.1,0,0.9,0.9,100,0.1,0.3,0.4,0.4,0.1,0.3,0,0.1,2.8,0,0,1.1
292,Arron Afflalo,ORL,32,8,4,4,0.4,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.3,-0.1,0,0,-0.4
292,Damion Lee,ATL,25,8,4,4,2.6,0.4,0.1,0.5,25,0,0,0,0.1,0.3,50,0,0.5,0.5,0.3,0.1,0.1,0,0.4,1.6,0,0,0.8
292,Malik Monk,CHA,20,8,1,7,1.5,0.4,0.1,0.9,14.3,0,0.8,0,0.1,0.1,100,0,0.1,0.1,0,0,0,0.1,0.3,0.9,0,0,-1.5
292,Danilo Gallinari,LAC,29,8,4,4,2.6,1.1,0.3,0.8,33.3,0.1,0.5,25,0.5,0.5,100,0.1,0.4,0.5,0,0.1,0,0,0.1,1.6,0,0,0.1
292,Paul Zipser,CHI,24,8,3,5,1.8,0.5,0.1,0.3,50,0,0,0,0.3,0.3,100,0,0.3,0.3,0.1,0,0,0,0.3,1,0,0,-2
307,Tony Allen,NOP,36,7,5,2,1.6,0.3,0.1,0.3,50,0,0,0,0,0,0,0,0.7,0.7,0,0.1,0,0,0.1,1,0,0,0.7
307,Luke Babbitt,MIA,29,7,1,6,1.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.4,0.2,0,0,-1
307,Gerald Green,HOU,32,7,7,0,2.5,1.4,0.4,0.6,75,0.3,0.4,66.7,0.3,0.3,100,0,0.3,0.3,0,0,0,0.1,0.3,2.2,0,0,2.1
307,Terrence Ross,ORL,27,7,3,4,2.3,0.6,0.1,0.7,20,0.1,0.4,33.3,0.1,0.3,50,0.1,0.3,0.4,0.1,0.4,0.1,0,0.3,1.3,0,0,-0.9
307,Cristiano Felicio,CHI,25,7,4,3,2.1,1,0.3,0.4,66.7,0,0,0,0.4,0.6,75,0.1,0.6,0.7,0,0,0.1,0,0.1,2.3,1,0,0.4
307,Shaquille Harrison,PHX,24,7,2,5,0.7,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.1,0.1,0.8,0,0,-0.1
307,Emmanuel Mudiay,NYK,22,7,5,2,1.5,0.3,0.1,0.9,16.7,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0.1,1.1,0,0,-0.4
307,Kobi Simmons,MEM,20,7,2,5,2.4,1.3,0.6,0.7,80,0,0,0,0.1,0.1,100,0.1,0.3,0.4,0.3,0,0,0,0.6,2.2,0,0,-0.7
307,Channing Frye,LAL,35,7,6,1,2.3,1.3,0.6,1.4,40,0.1,1,14.3,0,0,0,0,0.1,0.1,0,0,0,0.1,0.4,1.9,0,0,1.4
307,Kyle Collinsworth,DAL,26,7,2,5,2.2,1,0.4,0.4,100,0,0,0,0.1,0.1,100,0.1,0,0.1,0.1,0.1,0.1,0.3,0.4,2.5,0,0,-1.4
317,Matthew Dellavedova,MIL,27,6,4,2,4.6,1.7,0.5,0.5,100,0.3,0.3,100,0.3,0.3,100,0,0.3,0.3,0.5,0.3,0,0,0.7,2.5,0,0,1.5
317,Patrick Patterson,OKC,29,6,3,3,1.8,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,0,0,-0.8
317,Omri Casspi,GSW,30,6,3,3,2.3,0,0,0.2,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0.3,0.3,1.8,1,0,1
317,Jawun Evans,LAC,21,6,4,2,1.8,0.3,0,0.2,0,0,0,0,0.3,0.5,66.7,0.2,0,0.2,0,0.2,0.2,0,0.2,0.9,0,0,-0.5
317,Quinn Cook,GSW,25,6,3,3,2.6,1,0.3,0.7,50,0,0,0,0.3,0.3,100,0.2,0,0.2,0.2,0,0,0,0.5,1.5,0,0,-1.3
317,OG Anunoby,TOR,20,6,3,3,5.2,0.5,0,0.3,0,0,0.3,0,0.5,0.7,75,0,0.2,0.2,0,0.2,0,0,0.3,0.5,0,0,1.3
317,Alex Caruso,LAL,24,6,3,3,2.3,0,0,0.5,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.5,0,0.2,0.2,0.5,0,0,-1.3
317,JaKarr Sampson,SAC,25,6,1,5,2.3,0.3,0.2,0.7,25,0,0,0,0,0,0,0.3,0.2,0.5,0.2,0,0.2,0.2,0.5,2.2,0,0,-1.5
317,Josh Huestis,OKC,26,6,3,3,1.8,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0.3,0,0.2,0,0,0.5,0.2,0,0,-2
317,Gorgui Dieng,MIN,28,6,3,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0,0,0,0.2,1.1,0,0,-3.2
317,Sean Kilpatrick,CHI,28,6,3,3,1.5,2,0.7,1.5,44.4,0.5,0.7,75,0.2,0.3,50,0,0.3,0.3,0.2,0,0,0,0,2.7,0,0,-0.2
317,Wes Iwundu,ORL,23,6,2,4,1.6,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.3,0.3,0,0,0
317,Mike Conley,MEM,30,6,3,3,3.4,3.2,0.7,1.8,36.4,0.5,1.3,37.5,1.3,1.7,80,0,0.3,0.3,0.2,0.2,0.3,0,0.8,4.7,0,0,-1.8
317,Jordan Bell,GSW,23,6,6,0,2,1,0.5,0.7,75,0,0.2,0,0,0,0,0.2,0.7,0.8,0.3,0.3,0,0.2,0.8,2.7,1,0,1.3
317,Treveon Graham,CHA,24,6,4,2,1,0.8,0.2,0.2,100,0.2,0.2,100,0.3,0.5,66.7,0,0.2,0.2,0,0,0,0,0.2,1,0,0,0.5
332,Dorian Finney-Smith,DAL,25,5,0,5,4.3,0,0,1,0,0,0.6,0,0,0,0,0.2,0.4,0.6,1,0,0,0,0,2.2,1,0,-4.4
332,Jalen Jones,DAL,25,5,1,4,2.9,0.6,0.2,1,20,0.2,1,20,0,0,0,0.2,0.2,0.4,0,0.2,0,0,0.2,0.9,0,0,-2.2
332,Brandan Wright,HOU,30,5,1,4,2.2,0,0,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0.2,0.2,0.6,1.9,0,0,-1.8
332,Tarik Black,HOU,26,5,3,2,2.5,0.8,0.4,0.6,66.7,0,0,0,0,0.4,0,0.4,1,1.4,0,0,0,0.4,0.6,3.7,0,0,2
332,Iman Shumpert,SAC,28,5,3,2,1,0.2,0,0,0,0,0,0,0.2,0.2,100,0,0.2,0.2,0,0,0,0,0.2,0.4,0,0,0.6
332,Myke Henry,MEM,25,5,1,4,1.6,0.2,0,0,0,0,0,0,0.2,0.4,50,0,0,0,0,0,0,0,0.4,0.2,0,0,-0.8
332,Brandon Paul,SAS,27,5,3,2,1.5,0,0,0.4,0,0,0.4,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0.4,0.8,0,0,-1.4
332,Cody Zeller,CHA,25,5,2,3,2,0.8,0.2,0.4,50,0,0,0,0.4,0.4,100,0.6,0,0.6,0,0,0,0.2,0.4,2.1,0,0,-3.2
332,Aaron Harrison,DAL,23,5,2,3,3,1.6,0.4,0.8,50,0.2,0.6,33.3,0.6,0.8,75,0,0.4,0.4,0,0.6,0,0.2,0.4,2.1,0,0,-0.6
332,Alec Burks,UTA,26,5,1,4,3.2,1.2,0.4,1.2,33.3,0,0.2,0,0.4,0.4,100,0,0.8,0.8,0,0,0,0,0.4,2.2,0,0,-1.6
332,Jamil Wilson,LAC,27,5,1,4,2.4,0,0,1,0,0,0.6,0,0,0,0,0,0.2,0.2,0,0,0,0,0.4,0.2,0,0,-4.6
332,Jose Calderon,CLE,36,5,4,1,2.4,0,0,0.4,0,0,0.2,0,0,0,0,0,0.4,0.4,0,0,0,0.2,0.2,1.1,0,0,3
332,Tony Parker,SAS,36,5,2,3,1.6,1.2,0.6,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,-1.2
