Player_Num,VS PLAYER,TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,OPP +/-
556,"Pullen, Jacob",PHI,3,2,1,2,1.7,4.7,35.7,0,1.7,0,0,0,0,0.7,2,2.7,0.7,1,0.7,0,0.3,0,0,3.3,0
556,"Morris, Monte",DEN,3,2,1,8.4,6.7,14.7,45.5,3,6.3,47.4,4.3,5.3,81.3,1.7,6,7.7,3.7,3,1,1,0,2.7,2.7,20.7,2.3
556,"Stockton, David",UTA,3,3,0,3.1,3.3,5.3,62.5,1,2,50,1.7,2,83.3,0,2,2,2.7,0.3,1.3,0,0,1,1,9.3,3.7
556,"Bledsoe, Eric",PHX,3,0,3,27.6,27,54.7,49.4,9.3,16.3,57.1,14,18,77.8,6.7,24.3,31,13,9,5,3,3.3,15,14.3,77.3,24
556,"Smith, Josh",NOP,3,2,1,3.9,3,6.3,47.4,1,2.7,37.5,2.7,3,88.9,0,4.3,4.3,2.3,1.7,0.3,0.3,0,2,1.7,9.7,3.3
556,"Drew II, Larry",PHI,3,2,1,4.9,3.3,7.7,43.5,1.3,3.3,40,1.3,1.3,100,1.3,3.7,5,2,1.3,0.3,0.3,0,1,1.3,9.3,1.7
556,"Jackson, Demetrius",PHI,3,3,0,5.8,7.3,12.7,57.9,3,4.7,64.3,1.7,2,83.3,1.3,4,5.3,5.7,1,1,0.7,0.3,2,1.3,19.3,4.3
556,"Warney, Jameel",DAL,3,1,2,8.9,7.3,15.7,46.8,2.3,7,33.3,3,3.3,90,1.3,5.7,7,3,1.7,1,1,0,3.3,4.3,20,1.7
570,"Okafor, Jahlil",PHI,2,1,1,12.6,12,24.5,49,4,11,36.4,8,9,88.9,2,10,12,7.5,2.5,2.5,2.5,1.5,5.5,6.5,36,10.5
570,"Silas, Xavier",BOS,2,1,1,3.7,3.5,7.5,46.7,1,2,50,0.5,1,50,1.5,3,4.5,1.5,1,0.5,0.5,0,4,1,8.5,-0.5
570,"Dozier, PJ",OKC,2,1,1,1.6,1.5,4,37.5,0,1,0,0.5,0.5,100,1,1,2,1,0,0,0.5,0,0,0.5,3.5,1.5
570,"Eddie, Jarell",BOS,2,1,1,2.8,2.5,4.5,55.6,1.5,1.5,100,1,1,100,0,3.5,3.5,2,0.5,0,0,0,0.5,1,7.5,4.5
570,"Felder, Kay",DET,2,2,0,2.9,2,5.5,36.4,1,3,33.3,0.5,1.5,33.3,1,2,3,1,0.5,0.5,0,0,1,1.5,5.5,0.5
570,"Caboclo, Bruno",TOR,2,2,0,3.3,1,6,16.7,0.5,2,25,0.5,1,50,0.5,1.5,2,1,1,0.5,0,1,1,0.5,3,-5
570,"Ingram, Andre",LAL,2,1,1,32.1,26.5,57.5,46.1,7.5,21,35.7,7,13.5,51.9,4,23.5,27.5,15,12.5,6,2,4,12.5,14,67.5,-10
570,"Hayes, Nigel",TOR,2,2,0,3.1,1.5,3.5,42.9,0,1.5,0,1,2,50,0.5,1.5,2,0.5,1.5,1,0.5,0.5,1,1,4,-2
570,"Hayes, Nigel",LAL,2,1,1,5.4,5,8.5,58.8,2,3.5,57.1,1.5,2,75,0.5,2.5,3,3.5,2,0.5,0,0,1,2,13.5,-4
570,"McRoberts, Josh",DAL,2,2,0,2.9,2,4.5,44.4,1.5,2.5,60,0.5,1,50,0,2.5,2.5,1.5,1,0.5,0.5,0,0.5,1,6,0
570,"Moore, Ben",IND,2,1,1,4.6,5.5,8,68.8,2.5,3.5,71.4,4,5,80,0,3.5,3.5,4.5,0.5,2,0.5,0,2.5,3.5,17.5,7.5
570,"Williams, Derrick",LAL,2,1,1,4.3,1.5,4.5,33.3,0,1,0,3,4,75,0,5,5,0,3.5,1.5,1,0.5,1.5,2,6,2.5
570,"Montero, Luis",DET,2,1,1,4,3.5,8,43.8,1,2,50,0,0,0,0,4,4,2.5,0,1,0,0.5,1,0,8,2.5
583,"Lydon, Tyler",DEN,1,1,0,2.2,4,5,80,1,1,100,0,0,0,1,2,3,3,0,0,0,0,1,0,9,6
583,"Hayward, Gordon",BOS,1,0,1,5.3,3,8,37.5,0,2,0,3,3,100,1,4,5,3,2,0,1,1,2,2,9,-3
583,"McKinney-Jones, Trey",IND,1,1,0,1.2,1,2,50,0,1,0,2,2,100,0,1,1,0,0,0,0,0,1,1,4,0
583,"Vaughn, Rashad",BKN,1,0,1,4.2,1,5,20,1,3,33.3,5,7,71.4,1,2,3,0,0,0,0,0,0,5,8,-4
583,"Boucher, Chris",GSW,1,1,0,1.3,1,1,100,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,2,2
583,"Onuaku, Chinanu",HOU,1,0,1,21.6,13,35,37.1,4,14,28.6,10,12,83.3,4,18,22,8,5,3,1,4,8,14,40,8
583,"Hopson, Scotty",DAL,1,0,1,8.4,11,14,78.6,1,2,50,2,3,66.7,0,7,7,6,5,4,0,0,5,3,25,8
583,"Papagiannis, Georgios",POR,1,0,1,3.7,0,4,0,0,4,0,0,2,0,1,1,2,0,4,0,0,0,1,2,0,-15
583,"Patton, Justin",MIN,1,0,1,3.7,2,5,40,1,4,25,4,6,66.7,1,3,4,0,3,0,0,0,1,3,9,-3
583,"Wright, Brandan",HOU,1,1,0,15.3,14,27,51.9,6,10,60,5,8,62.5,1,6,7,11,4,3,0,1,8,8,39,-9
